first,complete,booster,total,region
14420383.0,14342185.0,6464110.0,35226678.0,ncr
10936480.0,11699773.0,3804498.0,26440751.0,4a
8809488.0,9382370.0,3183285.0,21375143.0,3
4956354.0,5631577.0,1056920.0,11644851.0,6
4898804.0,5008635.0,1034745.0,10942184.0,7
3819833.0,4136733.0,1612909.0,9569475.0,1
3606395.0,3828778.0,720585.0,8155758.0,5
3389782.0,3449034.0,1035029.0,7873845.0,10
3389782.0,3449034.0,733361.0,7643522.0,11
2952491.0,3002479.0,609468.0,6564438.0,8
2723047.0,2844353.0,959089.0,6526489.0,2
2651822.0,2671032.0,504866.0,5827720.0,12
2382321.0,2486941.0,640774.0,5510036.0,9
1952157.0,2022215.0,487604.0,4461976.0,Barrm
1837592.0,2010615.0,434031.0,4282238.0,4b
1747599.0,1848073.0,443064.0,4038736.0,caraga
1174927.0,1321642.0,457163.0,2953732.0,car
0.0,0.0,0.0,0.0,no region
